title,author,abstract,keywords,source_file
Rice straw-derived biochar amendment enabling a synergy for mercury alkylation and carbon sequestration in mercury-contaminated paddy soil,"Kaikai Fang a , Shengting Rao a , Yan He a,b , Jian Wang c , Jianming Xu a,b , Jiachun Shi a,*","We report an unrecognized but significant mechanism of synergistic carbon sequestration and mercury (Hg) alkylation in Hg-contaminated paddy soil. This study investigates the influence of rice straw (RS) and biochar (BC) amendments on carbon fraction transformation and Hg alkylation. Results revealed that BC amendment facilitated Protein and Lipid convert into Tannin, possibly by Anaerolineaceae, thereby promoting soil carbon sequestration; whereas RS amendment increased the conversion of Amino sugars and Carbohydrates into Lignin when comparing the BC and RS additions. The RS amendment cannot effectively increase soil carbon stocks due to  the  considerable  CH4 emissions.  Furthermore,  RS  significantly  facilitated  the  conversion  of  Hg  ions  to methylmercury, as indicated by an 88.7% reduction in Hg ions and an 81.6% increase in methylmercury levels compared to the control (CK). The BC also promotes the methylation of Hg, but the intensity is not as strong as the RS. Compared with the CK, both the RS and BC showed an inhibitory effect on Hg ethylation, with RS having a stronger inhibitory capacity. These findings, which comprehensively consider soil carbon sequestration, Hg methylation and ethylation, benefits strong support for the BC amendment as the most advantageous environmental  strategy  in  comparison  to  the  CK  and  RS  treatments.  This  study  discovers  that  BC  amendment  can simultaneously enhance soil carbon sequestration and reduce Hg alkylation, and reveals the process mechanism.",Rice straw; Mass spectrometry; Carbon sequestration; Methylmercury; Ethylmercury,doc_08_Rice straw-derived biochar amendment enabling.md
"Sulfur/zinc co-doped biochar for stabilization remediation of mercury-contaminated soil: Performance, mechanism and ecological risk","Tianrui Xu a , Guanghui Wang a,b,* , Qiuling Yin a , Zhongkui Zhou a,b , Nansheng Deng c
- a School of Water Resources & Environmental Engineering, East China University of, Technology, Nanchang 330013, China
- b Jiangxi Provincial Key Laboratory of Genesis and Remediation of Groundwater Pollution, Nanchang 330013, China
- c School of Resources and Environmental Science, Wuhan University, Wuhan 430079, China","In this study, a novel sulfur/zinc co-doped biochar (SZ-BC) stabilizer was successfully developed for the remediation of mercury-contaminated soil. Results from SEM, TEM, FTIR and XRD revealed that biochar (BC) was successfully modified by sulfur and zinc. In the batch adsorption experiments, the sulfur-zinc co-pyrolysis biochar  displayed  excellent  Hg(II)  adsorption  performance,  with  the  maximum  adsorption  capacity  of  SZ-BC (261.074 mg/g) being approximately 16.5 times that of BC (15.855 mg/g). Laboratory-scale static incubation, column leaching, and plant pot experiments were conducted using biochar-based materials. At an additional dosage of 5 % mass ratio, the SZ-BC exhibits the most effective stabilization of mercury in soil, leading to a significant reduction in leaching loss compared to the control group (CK) by 51.30 %. Following 4 weeks of incubation and 2 weeks of leaching with SZ-BC, the residual mercury in the soil increased by 27.84 %. As a result, potential ecological risk index of mercury decreased by 92 % compared to the CK group. In the pot experiment, SZ-BC significantly enhanced the growth of Chinese cabbage, with biomass and root dry weight reaching 3.20 and  2.80  times  that  of  the  CK  group,  respectively.  Additionally,  the  Translocation  Factor  (TF)  and  Bioconcentration Factor (BF) were reduced by 44.86 % and 74.43 %, respectively, in the SZ-BC group compared to the CK group. Moreover, SZ-BC can effectivel",Mercury (II);Modified biochar;Sulfur/zinc co-doping;Stabilization mechanism,doc_09_Sulfur zinc co-doped biochar for stabilization remediation of.md
Field-aged rice hull biochar stimulated the methylation of mercury and altered the microbial community in a paddy soil under controlled redox condition changes,"Felizitas Boie a, Thomas F. Ducey b, Ying Xing a,c, Jianxu Wang a,d, Jörg Rinklebe a,* 
- a University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water and Waste Management, Laboratory of Soil and Groundwater Management, Pauluskirchstraße 7, 42285 Wuppertal, Germany
- b US Department of Agriculture, Coastal Plains Soil, Water, Plant Research Center, 2611 West Lucas Street, Florence, SC, USA
- c School of Chemistry and Materials Science, Guizhou Normal University, Guiyang 550002, PR China
- d State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, 550082 Guiyang, P.R. China","Mercury (Hg) contaminated paddy soils are hot spots for methylmercury (MeHg) which can enter the food chain via rice plants causing high risks for human health. Biochar can immobilize Hg and reduce plant uptake of MeHg. However, the effects of biochar on the microbial community and Hg (de)methylation under dynamic redox conditions in paddy soils are unclear. Therefore, we determined the microbial community in an Hg contaminated paddy soil non-treated and treated with rice hull biochar under controlled redox conditions ( < 0 mV to 600 mV) using a biogeochemical microcosm system. Hg methylation exceeded demethylation in the biochar-treated soil. The aromatic hydrocarbon degraders Phenylobacterium and Novosphingobium provided electron donors stimulating Hg methylation. MeHg demethylation exceeded methylation in the non-treated soil and was associated with lower available organic matter. Actinobacteria were involved in MeHg demethylati",Hg methylation; MeHg demethylation; Microbial community network; Phospholipid fatty acids (PLFA),doc_10_Field-aged rice hull biochar stimulated the methylation of mercury.md
Selenium-phosphorus modified biochar reduces mercury methylation and bioavailability in agricultural soil ☆,"Dongqiang Qin a,c , Guangjun Luo a,b,c , Aming Qin a,c , Tianrong He a,* , Pan Wu a,b , Deliang Yin a
- a Key Laboratory of Karst Georesources and Environment (Guizhou University), Ministry of Education, Guiyang, 550025, China
- b College of Resources and Environmental Engineering, Guizhou University, Guiyang, 550025, China
- c Guizhou Karst Environmental Ecosystems Observation and Research Station, Ministry of Education, Guiyang, 550025, China","Biochar is a frequently employed for solidifying and stabilizing mercury (Hg) contamination in soil. However, it often results in an elevated presence of soil methylmercury (MeHg), which introduces new environmental risks. Consequently, there is a necessity for developing a safer modified biochar for use in Hg-contaminated soil. This study employed sodium selenite (at a safe dosage for soil) and hydroxyapatite to modify straw biochar (BC) based on the interaction between selenium (Se) and phosphorus (P). This process led to the formation of Se-modified biochar (Se-BC), P-modified biochar (P-BC), and Se and P co-modified biochar (Se-P-BC). Additionally, solvent adsorption  experiments  and  pot  experiments  (BC/soil  mass  ratio:  0.5  %)  were  conducted  to  investigate  the impacts of these soil amendments on soil Hg methylation and bioavailability. Se and P co-modification substantially increased the surface area, pore volume, and Hg adsorption capacity of BC. BC treatment increased the simulated gastric acid-soluble Hg, organo-chelated Hg, and MeHg in the soil. Conversely, Se-P-BC significantly reduced these forms of Hg in the soil, indicating that Se-P-BC can transform soil Hg into less bioavailable states. Among the different biochar treatments, Se-P-BC exhibited the most pronounced reductions in soil MeHg, total Hg, and MeHg in water spinach, achieving reductions of 63 %, 71 %, and 70 %, respectively. The co-modification of Se and P displayed a synergistic reduction effect in managing soil Hg pollution, which is associated with the increase  of  available  Se  in  the  soil  due  to  phosphorus  addition.  The  significantly  reduced  dissolved  organic carbon  and  the  abnormally  high  SO4 2 GLYPH&lt;0&gt; concentration  in  the  soil  of  Se-P-BC  treatment  also  inhibited  Hg methylation and bioavailability in the soil. In summary, Se-P-BC substantially increased reduction percentage in plant Hg content while mitigating the risk of secondary pollution arising from elevated soil MeHg.",Hg; MeHg; Biochar; Se; Hydroxyapatite; Soil,doc_11_Selenium–phosphorus modified biochar reduces mercury methylation and.md
Effects of varying amounts of different biochars on mercury methylation in paddy soils and methylmercury accumulation in rice (Oryza sativa L.),"Yongjie Wang a,b,1 , Li Chen b,1 , Yuanyuan Chen b , Yongjun Xue c , Guangxia Liu d , Xiangmin Zheng b , Limin Zhou a,b,e, ⁎ , Huan Zhong d
- a Key Laboratory of Geographic Information Science, Ministry of Education, East China Normal University, Shanghai 200241, PR China
- b School of Geographic Sciences, East China Normal University, Shanghai 200241, PR China
- c School of Life Sciences, East China Normal University, Shanghai 200241, PR China
- d State Key Laboratory of Pollution Control and Resources Reuse, School of the Environment, Nanjing University, Nanjing 210023, PR China
- e Institute of Eco-Chongming, East China Normal University, Shanghai 200241, PR China","There is growing evidence for the potential of biochars (BCs) in remediating mercury-contaminated paddy soils, but the high doses commonly used in laboratory studies discourage BC application in practice. To address these dif /uniFB01 culties, wecompared the effects of varying amounts of BCs from different sources on the formation of methylmercury (MeHg) in soil and its accumulation in rice through microcosm and pot experiments. The addition of a wide range of added doses (0.3, 0.6, 1, 2, 4 and 5 %, w/w) of BCs derived from different biomass feedstocks (i.e., corn stalk, wheat straw, bamboo, oak and poplar) signi /uniFB01 cantly decreased the fraction of ammonium thiosulfate ((NH4)2S2O3)extractable MeHg in the soil, although the MeHg contents varied with BC types and doses during soil incubation. However, the extractable MeHg in the soil did not continuously decrease with increasing BC doses, especially at doses of > 1 %, resulting in limited further reductions. Moreover, a relatively low application rate (0.3 -0.6 %, w/w) of BCs (i.e., corn stalk, wheat straw and bamboo-derived BC), especially of bamboo-derived BCs, signi /uniFB01 cantly decreased the MeHg levels (42 -76 %) in rice grains (brown rice). Meanwhile, the extractable soil MeHg decreased (57 -85 %), although the MeHg in the soil varied under BC amendment during rice cultivation. These results provide further evidence that applying BC produced from different raw carbon materials (e.g., lignocellulosic biomass) could effectively",Biochar;Paddy soil;Methylmercury;Rice,doc_12_Effects of varying amounts of different biochars on mercury methylation in.md
Biochar affects methylmercury production and bioaccumulation in paddy soils: Insights from soil-derived dissolved organic matter,"Siqi Zhang¹, Mingxing Wang¹, Jiang Liu², Shanyi Tian³, Xueling Yang¹, Guangquan Xiao¹, Guomin Xu⁴,⁵, Tao Jiang¹,²,⁶,*, Dingyong Wang¹
¹ Interdisciplinary Research Centre for Agriculture Green Development in Yangtze River Basin, Department of Environmental Sciences and Engineering, College of Resources and Environment, Southwest University, Chongqing 400716, China
² State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550002, China
³ Soil Ecology Laboratory, College of Resources and Environmental Sciences, Nanjing Agricultural University, Nanjing 210095, China
⁴ National Engineering Research Center for Compounding and Modification of Polymer Materials, Guiyang 550014, China
⁵ Guizhou Material Industrial Technology Institute, Guiyang 550014, China
⁶ Institute of Environment and Health, Jianghan University, Wuhan 430056, China","Biochar has been used increasingly as a soil additive to control mercury (Hg) pollution in paddy rice fields. As the most active component of soil organic matter, soil dissolved organic matter (DOM) plays a vital role in the environmental fate of contaminants. However, there are very few studies to determine the impact of biochar on the Hg cycle in rice paddies using insights from DOM. This study used original and modified biochar to investigate their effect on DOM dynamics and their potential impact on methylmercury (MeHg) production and bioaccumulation in rice plants. Porewater DOM was collected to analyze the variations in soil-derived DOM in paddy soils. The results showed that the addition of biochar, whether in original or modified form, significantly reduced the bioaccumulation of MeHg in rice plants, especially in hulls and grains ( p < 0.05). However, MeHg production in soils was only inhibited by the modified biochar. Biochar addition induced a significant increase in DOM's aromaticity and molecular weight ( p < 0.05), which decreased Hg bioavailability. Furthermore, enhanced microbial activity was also observed in DOM ( p < 0.05), further increasing MeHg production in the soil. Thus, the effect of biochar on the fate of Hg cycle involves competition between the two different roles of DOM. This study identified a specific mechanism by which biochar affects Hg behavior in rice paddy soil and contributes to understanding the more general influence",Mercury; Methylmercury; Biochar; Dissolved organic matter; Rice,doc_13_Biochar affects methylmercury production and bioaccumulation in paddy soils.md
Stabilization of Soil Co-Contaminated with Mercury and Arsenic by Different Types of Biochar,"Yang Wei 1,2,3,4, *, Risheng Li 1,2,3,4 , Nan Lu 2,3,4 and Baoqiang Zhang 1,2,3,4
- 1 Shaanxi Land Engineering Construction Group Co., Ltd., Xi'an Jiaotong University Technology Innovation Center for Land Engineering and Human Settlements, Xi'an 710075, China
- 2 Land Engineering Technology Transformation Center, Shaanxi Provincial Land Engineering Construction Group Co., Ltd., Xi'an 710075, China
- 3 Institute of Land Engineering and Technology, Shaanxi Provincial Land Engineering Construction Group Co., Ltd., Xi'an 710075, China
- 4 Key Laboratory of Degraded and Unused Land Consolidation Engineering, Ministry of Natural Resources, Xi'an 710075, China
* Correspondence: weiyang1120@163.com","Mercury (Hg) and arsenic (As) are toxic and harmful heavy metals, with exceedance rates of 1.6% and 2.7%, respectively, in soils across China. Compared to soils contaminated with Hg or As alone, co-contaminated soils pose complex environmental risks and are difficult to remediate. Biochar is widely used as a soil amendment to adsorb and immobilize pollutants such as heavy metals. However, only a few studies have explored the efficiency of biochars produced from different crop straws to reduce the bioavailability of heavy metals in co-contaminated soils, and the effects on soil biological properties are often overlooked. The aim of this study was to investigate changes to the physicochemical properties, enzyme activities, and heavy metal bioavailability of an industrial soil co-contaminated with Hg and As upon the addition of different biochars from reed, cassava, and rice straws (REB, CAB, and RIB, respectively). The soil was amended with 1% biochar and planted with spinach in pots for 30 days. RIB was more effective than REB and CAB in increasing the soil pH, organic matter content, and cation exchange capacity. RIB and CAB exhibited similar positive effects on the soil dehydrogenase, catalase, invertase, and urease activities, which were higher than those of REB. The exchangeable fraction of both metals decreased upon biochar addition, and the residual fraction showed the opposite trend. All biochar amendments reduced the bioconcentration factors of heavy metals (especially Hg) in plants and decreased the metal bioavailability in soil. RIB is the optimal amendment for the stabilization of soil co-contaminated with Hg and As.",biochar amendment; heavy metal co-contamination; soil pollution; enzyme activity,doc_14_Stabilization of Soil Co-Contaminated with Mercury and.md
Impact of sulfur-impregnated biochar amendment on microbial communities and mercury methylation in contaminated sediment,"Mark Xavier Bailon a,b , Dhiraj Kumar Chaudhary a , Cheolho Jeon c , Yong Sik Ok d , Yongseok Hong a,*
- a Department of Environmental Engineering, Korea University Sejong Campus, 2511 Sejong-ro, Sejong City 30019, South Korea
- b Department of Science and Technology - Philippines, Philippine Science High School -Central Luzon Campus, Lily Hill, Clark Freeport Zone, Mabalacat City, Pampanga 2010, Philippines
- c Research Center for Materials Analysis, Korea Basic Science Institute, Daejeon, South Korea
- d Korea Biochar Research Center, APRU Sustainable Waste Management Program &amp; Division of Environmental Science and Ecological Engineering, Korea University, Seoul, South Korea","Editor: Lingxin Chen

S-impregnation of biochar through elemental S streaming is known to increase its sorption performance against Hg and methyl mercury (MeHg). However, the effects of %S-loading on biochar ' s mechanism and sorption capacities for MeHg, and its consequent impact when used as an amendment material for Hg-contaminated sediments, are poorly understood, and thus, were investigated in this work. Our results showed that a minimum sulfur loading of 1% was the most effective in reducing MeHg levels in sediments. At higher %S-loading (3 -20%), the reduction in surface area, pore blockage due to unreacted sulfur particles, and presence of poorly bound sulfur  species  resulted  in  lowered  effectiveness  for  MeHg  control.  Increasing  S-functionalization  during impregnation shifted the sorption process of MeHg from Hg-O to Hg-S in S-impregnated biochar (BCS). Our 60day slurry experiment showed a significant reduction in pore water THg (40 -70%) and MeHg (30 -55%), as well as sediment MeHg (50 -60%) in biochar-amended sediments. The reduction in the bioavailable Hg resulted in lowered Hg methylation, as supported by the suppression of both the Fe- and SO4 2-reduction activities in the amended sediments. The microbial community structure in BCS-amended sediments showed a shift towards sulfur-consuming, iron-reducing, thiosulfate-oxidizing, and sulfate-reducing bacterial populations. At the genus level, the overall relative abundance of principal Hg methylators was also lower in the BCS t",Methyl mercury; Methylation; Sulfur; Elemental S streaming; Bacterial community,doc_15_Impact of sulfur-impregnated biochar amendment on microbial.md
Effective reducing the mobility and health risk of mercury in soil under thiol-modified biochar amendment,"Yao Huang a,1 , Bin Zhao a,d,1 , Gaocheng Liu a , Kai Liu a , Bingjun Dang e , Honghong Lyu b,* , Jingchun Tang c
- a Guangdong Key Laboratory of Integrated Agro-environmental Pollution Control and Management, Institute of Eco-environmental and Soil Sciences, National-Regional Joint Engineering Research Center for Soil Pollution Control and Remediation in South China, Guangdong Academy of Sciences, Guangzhou 510650, China b Tianjin Key Laboratory of Clean Energy and Pollution Control, School of Energy and Environmental Engineering, Hebei University of Technology, Tianjin 300401,
- China
- c MOE Key Laboratory of Pollution Process and Environmental Criteria/Tianjin Engineering Center of Environmental Diagnosis and Contamination Remediation, College of Environmental Science and Engineering, Nankai University, Tianjin 300350, China
- d Norwegian University of Life Sciences, Department of Environmental Sciences, 5003, N-1432 Ås, Norway
- e College of Tobacco Science, Henan Agricultural University, Zhengzhou 450002, China","Soil mercury contamination poses health risks. However, effective immobilization techniques are lacking with challenges including low efficiency, limited long-term stability, susceptibility to multi-medium interference, and difficulty in controlling health risks. This study confirmed the feasibility of thiol-modified biochar, and elucidated the underlying mechanisms. Within 32 days of treatment, the leachable mercury decreased from 184.7 μ g/ L to below the hazardous waste threshold (100 μ g/L, HJ/T299 -2007, China). After 198 days of treatment, the soil achieved a safe ecological state with a mercury immobilization rate of 79.8 -98.2% and a 50% reduction in available methylmercury.  Thiol-modified biochar facilitated the conversion of active mercury  species (exchangeable,  carbonate,  and  oxide)  into  stable  forms  (organic  and  residual)  through  complexation  and",Mercury Immobilization; Biochar; Soil; Health risk assessment,doc_16_Effective reducing the mobility and health risk of mercury in soil under.md
Effect of production temperature and particle size of rice husk biochar on mercury immobilization and erosion prevention of a mercury contaminated soil,"Zhengtao Shen a , Zhuorong Zhang a , Mengdi Zhang a,b , J ¨ org Rinklebe c,d , Yan Ma b , Deyi Hou a,* 
- a School of Environment, Tsinghua University, Beijing 100084, China
- b School of Chemical and Environmental Engineering, China University of Mining and Technology, Beijing 100083, China
- c University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water and Waste Management, Laboratory of Soil and
- Groundwater Management, Pauluskirchstra ß e 7, 42285 Wuppertal, Germany
- d Department of Environment, Energy and Geoinformatics, Sejong University, 98 Gunja-Dong, Guangjin-Gu, Seoul, Republic of Korea","Mercury  (Hg)  contaminated  soil  is  a  potential  hazardous  material  especially  under  soil  erosion  and  surface runoff. This work aims to use rice husk biochar to immobilize Hg and prevent erosion, and find the optimal production temperature and particle size of the biochar. The biochars were produced at 300, 500, and 700 ◦ C and sieved to three particle sizes ~20, <2, and <0.15 mm. They were applied to a Hg contaminated loamy sand (20.2 mg/kg) and undergone simulated rainfall erosion representing 7 years of heavy rain events in Beijing. All biochar amendments reduced the runoff volume by 5.1 -15.4%. Hg amount in runoff were significantly reduced by 36.7 -48.8% after the amendments of biochar. The Hg concentration of infiltration was reduced by biochar treatments except that produced at 300 ◦ C, while its amount was increased due to larger infiltration volume. All biochar amendments significantly reduced soil loss in runoff by 43.5 -77.2%. Hg was enriched in the sediments (39.7 -46.8  mg/kg)  compared  with  the  parent  soil  (20.2  mg/kg)  regardless  of  biochar  treatment,  but  its bioavailability was low. Higher pyrolysis temperature of the rice husk biochars resulted in less runoff, more infiltration, and better erosion prevention, while the effect of biochar particle size is less significant.",Mercury contaminated soil; Soil erosion; Biochar amendment; Mercury contamination; Runoff and infiltration,doc_17_Effect of production temperature and particle size of rice husk biochar on.md
Corn stover biochar increased edible safety of spinach by reducing the migration of mercury from soil to spinach,"Wei Zhao a , Yutong Cui a , Xiping Sun b , Hongyan Wang a, ⁎ , Xiaohua Teng c, ⁎
- a College of Resource and Environment, Northeast Agricultural University, Harbin 150030, China
- b No. 6 Middle School of Harbin, Harbin 150030, China
- c College of Animal Science and Technology, Northeast Agricultural University, Harbin 150030, China","Mercury (Hg) is toxic and can affect human health through soil entering food chain. Spinach absorb easily heavy metals. Corn stover biochar can improve soil structure and physicochemical property. This study wanted to establish a Hg-corn stover biochar-soil-spinach model including 1 control group (without HgCl2 and corn stover biochar) and 24 treatment groups (with HgCl2 or/and corn stover biochar). Hg concentration was 0, 1, 2, 4, and 6 mg kg -1 , respectively. Corn stover biochar contents were 0%, 1%, 3%, 5%, and 7% w /w, respectively. The results showed that residual Hg concentrations was the largest and water soluble and exchangeable Hg as well as carbonate bound Hg concentrations were the lowest among /uniFB01 ve Hg forms. Hg concentrations in four Hg treatment groups were higher than the control group in dose-dependent manner. The deposition of 6 mg kg -1 Hg was the highest. Corn stover biochar decreased Hg migration from soil to leaching solution and spinach, and passivation effect of 7% concentration of corn stover biochar was the best. Besides, corn stover biochar relieved the increase of methyl Hg caused by Hg in soil. Moreover, Hg concentration in roots was the highest and Hg concentration in stems was the lowest in spinach. Furthermore, Hg absorbed by roots was more than the sum of Hg absorbed by stems and leaves. In addition, we also found that the measured soil Hg concentrations were coincided with the predicted soil Hg concentrations under 1, 2, and 4 mg kg -1 Hg concentrations, except 2 mg kg -1 Hg at 7% C. Under 6 mg kg -1 Hg concentration, measured soil Hg concentrations was lower than that of the predicted soil Hg concentrations. Taken together, our /uniFB01 ndings indicated that",Corn Stover biochar; Mercury; Spinach; Migration; Edible safety,doc_18_Corn stover biochar increased edible safety of spinach by reducing the.md
Responses of bacterial taxonomic attributes to mercury species in rhizosphere paddy soil under natural sulphur-rich biochar amendment,"Hualing Hu a,b , Zhonghong Li b , Beidou Xi a,b , Qigong Xu b,* , Wenbing Tan b
- a School of Environmental Science & Engineering, Tianjin University, Tianjin 300350, China
- b State Environmental Protection Key Laboratory of Simulation and Control of Groundwater Pollution, Chinese Research Academy of Environmental Sciences, Beijing 100012, China","Biochar and sulphur (S) are important factors regulating the level, speciation and transformation of mercury (Hg),  leading  to  alterations  in  the  assemblage  of  the  soil  microbial  community.  However,  variations  in  the taxonomic attributes of the rhizosphere soil bacterial community arising from the Hg speciation in paddy soil, amended with natural S-rich biochar (NSBC) derived from the pyrolysis of S-rich oilseed rape straw, remain unclear. Herein, a rice pot experiment was conducted. Hg-polluted paddy soils were amended with NSBC and low-S biochar (LSBC) to evaluate the role of Hg chemical form affected by NSBC in regulating the taxonomic attributes of rhizosphere soil, including microbial abundance, composition, and ecological clusters within the cooccurrence network of microbial communities. Results showed that microbial abundance was higher in soils with lower Hg levels, and mean increases of 149 observed operational taxonomic units (OTUs) and 238 predicted OTUs (Chao 1) were observed, with a 1 mg kg⁻¹ decrease in the total Hg (T-Hg) content. Among the 13 predictor variables, the T-Hg content was the strongest and most consistent predictor of the bacterial taxonomic attributes. This finding may be attributed to the fact that the drastic reduction in T-Hg and Hg bioavailability induced by NSBC results  in  the  decrease  of  Hg  stress  on  the  soil  microbiome.  Moreover,  NSBC  amendment  shifted  the ecological clusters toward th",Natural sulphur-rich biochar; Rhizosphere paddy soil; Mercury pollution; Microbial community; Co-occurrence network,doc_19_Responses of bacterial taxonomic attributes to mercury species in.md
"Mercury speciation in mine tailings amended with biochar: Effects on mercury bioavailability, methylation potential and mobility","J.A. Gamboa-Herrera, C.A. Ríos-Reyes, L.Y. Vargas-Fiallo
- a Escuela de Geología, Universidad Industrial de Santander, Bucaramanga 680002, Colombia
- b Escuela de Química, Universidad Industrial de Santander, Bucaramanga 680002, Colombia","Biochar is a low-cost and environmentally friendly amendment with strong ability for adsorption of mercury (Hg) from aqueous solutions, contaminated soils, and sediments. In the present study, six biochars were prepared from the pyrolysis of cocoa pod husk, sugarcane bagasse and banana pseudostem at 400 and 600 °C in order to use them as an organic amendment and to evaluate their capacities to reduce the bioavailability, methylation potential, and mobility of Hg present in mine tailings without environmental treatment. To quantify the effects of each variety of biochar, incubation experiments of soil were established by mixing mine tailings with 5% by weight of biochar for 90 days. Once the incubation time concluded, sequential extraction procedures were carried out to determine the fractionation of the Hg species. Speciation analysis results indicated that the remedial effects of biochar depended on the source of organic matter and pyrolysis temperature. The bioavailable and organic Hg fractions decreased respectively by up to 75 and 79%, indicating a methylation potential reduction. Immobile Hg fraction increased to 76% with respect to the control. Adsorption and stabilization to HgS from the soluble forms of Hg reduce the percentage of bioavailable Hg. The organic Hg fraction reduction was correlated with the decrease of the bioavailable Hg fraction and with direct adsorption processes in the biochar structure. Highly porous biochars developed at high temperature, with large contents of super /uniFB01 cial polar functional groups (H/C), and high pH, electrical conductivity, ash percentage and cation exchan",Remediation; Mercury; Mine wastes; Contamination; Biochar,doc_20_Mercury speciation in mine tailings amended with biochar.md
Rice hull biochar enhances the mobilization and methylation of mercury in a soil under changing redox conditions: Implication for Hg risks management in paddy fields,"Ying Xing a,b , Jianxu Wang c,b,1 , Christoph E.S. Kinder b , Xing Yang b , Michal Slaný d , Bing Wang e , Hocheol Song f , Sabry M. Shaheen b,g,h , Peter Leinweber i, j , J ¨ org Rinklebe b,f,*
- a School of Chemistry and Materials Science, Guizhou Normal University, Guiyang 550002, PR China
- b University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water- and Waste-Management, Laboratory of Soil- and
- Groundwater-Management, Pauluskirchstra ß e 7, 42285 Wuppertal, Germany
- c State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang 550082, PR China
- d Institute of Inorganic Chemistry, Slovak Academy of Sciences, Dúbravsk ´ a cesta 9, 845 36 Bratislava, Slovakia
- e College of Resources and Environment Engineering, Guizhou University, Guiyang, Guizhou 550025, PR China
- f University of Sejong, Department of Environment, Energy and Geoinformatics, 98 Gunja-Dong, Guangjin-Gu, Seoul, South Korea
- g King Abdulaziz University, Faculty of Meteorology, Environment and Arid Land Agriculture, Department of Arid Land Agriculture, Jeddah 21589, Saudi Arabia
- h University of Kafrelsheikh, Faculty of Agriculture, Department of Soil and Water Sciences, 33516 Kafr El-Sheikh, Egypt
- i University of Rostock, Department Light, Life and Matter (LLM), Albert-Einstein-Strasse 25, D-18059 Rostock, Germany
- j Soil Science, University of Rostock, Justus-von-Liebig-Weg 6, 18051 Rostock, Germany","Handling Editor: Adrian Covaci

Biochar amendment to paddy soils was promising to mitigate mercury (Hg) accumulation in rice; thus, it was applied to reduce human Hg exposure via rice consumption. However, how biochar affects Hg mobilization and MeHg formation in soil under changed redox potential (Eh) conditions remained unknown. Here, we explored the change of dissolved total Hg (DTHg) and dissolved MeHg (DMeHg), and their controlling biogeochemical factors in a soil with(out) biochar amendment under changing Eh conditions using biogeochemical microcosm. Biochar amendment  resulted  in  a  widen  Eh  range  ( GLYPH&lt;0&gt; 300  to  400  mV)  compared  to  the  control  ( GLYPH&lt;0&gt; 250  to  350  mV), demonstrating that biochar promoted reduction-oxidization reactions in soil. Biochar amendment enhanced Hg mobilization  by  mediating  reductive  dissolution  of  Fe/Mn  (hydr)oxides.  Thus,  the  increased  Hg  availability promoted MeHg formation in the soils. Biochar amendment changed the soi",Hg methylation;Redox chemistry;Paddy soil;Soil organic matter composition;Mercury mine,doc_21_Rice hull biochar enhances the mobilization and methylation of mercury in a soil.md
Mitigation of mercury accumulation in rice using rice hull-derived biochar as soil amendment: A field investigation,"Ying Xing a,b , Jianxu Wang c,b,d, *, Sabry M. Shaheen b,e,f , Xinbin Feng c , Zhuo Chen a , Hua Zhang c, **, Jörg Rinklebe b,g, *
- a School of Chemistry and Materials Science, Guizhou Normal University, Guiyang, 550002, PR China
- b University of Wuppertal, School of Architecture and Civil Engineering, Institute of Foundation Engineering, Water- and Waste-Management, Laboratory of Soil- and
- Groundwater-Management, Pauluskirchstraße 7, 42285, Wuppertal, Germany
- c State Key Laboratory of Environmental Geochemistry, Institute of Geochemistry, Chinese Academy of Sciences, Guiyang, 550081, PR China
- d CAS Center for Excellence in Quaternary Science and Global Change, Xi'an, 710061, PR China
- e King Abdulaziz University, Faculty of Meteorology, Environment, and Arid Land Agriculture, Department of Arid Land Agriculture, 21589, Jeddah, Saudi Arabia
- f University of Kafrelsheikh, Faculty of Agriculture, Department of Soil and Water Sciences, 33516, Kafr El-Sheikh, Egypt
- g University of Sejong, Department of Environment, Energy and Geoinformatics, 98 Gunja-Dong, Guangjin-Gu, Seoul, South Korea","Effect of application of 24 t ha -1 and 72 t ha -1 rice hull-derived biochar (RHB) on total Hg (THg) and methylHg (MeHg) immobilization and their accumulations by rice plants were studied in a field experiment (Wanshan Hg mine, China). The addition of two doses of RHB significantly increased the biomass of rice plants, and decreased the MeHg concentration in the pore water, as compared to the control. The RHB promoted the partitioning of pore water MeHg to the soil solid phase throughout rice growing season, and pore water THg partitioning only at rice filling stage. Mercury methylation potential was weakly affected by the RHB addition to the soil. Mercury",Rice Hg accumulation; Biochar application; Sulfur fractionation; Risk management; Field trial,doc_22_Mitigation of mercury accumulation in rice using rice hull-derived.md
